
央视频道,#genre#
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?#http://live.cooltv.top/tv/aishang.php?id=cctv1hd
CCTV2,http://222.240.82.92:9901/tsfile/live/0002_1.m3u8#http://183.196.25.171:808/hls/2/index.m3u8#http://1.195.111.251:11190/tsfile/live/0002_1.m3u8#http://live.cooltv.top/tv/aishang.php?id=cctv2hd
CCTV4,http://183.196.25.171:808/hls/4/index.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?#http://live.cooltv.top/tv/aishang.php?id=cctv4hd
CCTV5,http://live.cooltv.top/tv/aishang.php?id=cctv5hd
CCTV6,http://live.cooltv.top/tv/aishang.php?id=cctv6hd
CCTV7,http://live.cooltv.top/tv/aishang.php?id=cctv7hd
CCTV8,http://1.195.111.251:11190/tsfile/live/0008_1.m3u8
CCTV8,http://live.cooltv.top/tv/aishang.php?id=cctv8hd
CCTV9,http://live.cooltv.top/tv/aishang.php?id=cctv9hd
CCTV10,http://1.195.111.251:11190/tsfile/live/0010_1.m3u8#http://live.cooltv.top/tv/aishang.php?id=cctv10hd
CCTV11,http://live.cooltv.top/tv/aishang.php?id=cctv11hd
CCTV12,http://222.240.82.92:9901/tsfile/live/0012_1.m3u8#http://183.196.25.171:808/hls/12/index.m3u8#http://live.cooltv.top/tv/aishang.php?id=cctv12hd
CCTV13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?#http://live.cooltv.top/tv/aishang.php?id=cctv13hd
CCTV14,http://183.196.25.171:808/hls/14/index.m3u8#http://live.cooltv.top/tv/aishang.php?id=cctv14hd
CCTV15,http://1.195.111.251:11190/tsfile/live/0015_1.m3u8#http://live.cooltv.top/tv/aishang.php?id=cctv15hd
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?#http://live.cooltv.top/tv/aishang.php?id=cctv16hd
CCTV17,http://live.cooltv.top/tv/aishang.php?id=cctv17hd
CETV-1,http://txycetvbl.centv.cn/cetv1/ypd.m3u8
CETV2,http://txycetvbl.centv.cn/cetv2/2020tsytk.m3u8
CETV-3,http://txycetvbl.centv.cn/cetv3/bjdm.m3u8
CETV-4,http://txycetvbl.centv.cn/cetv4/zjpd.m3u8
ETV1,https://txycsbl.centv.cn/zb/0628cetv1.m3u8
